EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,BusinessTravel,DistanceFromHome,OverTime,MonthlyIncome,StockOptionLevel,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AttritionFlag,Attrition
802,32,Male,Married,Research & Development,Research Scientist,3,Technical Degree,Travel_Rarely,3,No,4769,3,8,3,2,0,0,2,2,3,4,3,2,3,0,No
804,33,Female,Divorced,Sales,Sales Representative,4,Marketing,Travel_Rarely,1,Yes,1409,1,0,0,13,3,6,0,3,4,1,3,3,3,0,No
805,35,Male,Married,Research & Development,Laboratory Technician,1,Life Sciences,Travel_Rarely,8,No,3275,2,29,0,1,1,0,1,2,3,3,3,2,3,0,No
811,45,Male,Married,Sales,Sales Executive,1,Life Sciences,Non-Travel,4,No,5675,0,14,1,0,0,0,0,2,2,4,3,3,3,1,Yes
815,51,Male,Married,Human Resources,Manager,2,Medical,Travel_Rarely,29,Yes,17590,0,0,5,12,1,0,2,3,1,2,4,3,3,1,Yes
816,36,Male,Married,Research & Development,Manufacturing Director,3,Life Sciences,Travel_Rarely,16,No,16556,0,9,1,4,1,2,4,0,2,4,4,3,4,0,No
817,46,Male,Divorced,Research & Development,Research Scientist,4,Life Sciences,Travel_Rarely,1,No,5134,1,8,2,21,3,2,3,3,4,1,2,3,4,1,Yes
819,39,Female,Divorced,Research & Development,Research Director,2,Other,Travel_Rarely,9,No,13725,0,1,0,3,1,0,0,3,4,1,3,1,3,0,No
820,39,Female,Married,Research & Development,Research Scientist,4,Human Resources,Travel_Rarely,29,No,4677,1,16,2,18,0,1,4,4,3,3,2,3,3,0,No
821,30,Female,Married,Research & Development,Research Scientist,4,Life Sciences,Travel_Rarely,16,No,5154,1,14,4,5,0,0,5,2,3,4,2,3,3,1,Yes
824,28,Female,Divorced,Sales,Sales Executive,5,Life Sciences,Travel_Rarely,18,No,5242,2,4,4,0,0,0,0,3,2,2,3,3,3,1,Yes
826,18,Female,Divorced,Research & Development,Healthcare Representative,4,Technical Degree,Travel_Rarely,5,No,6123,1,6,6,0,0,0,0,3,4,3,3,3,3,1,Yes
828,30,Female,Single,Sales,Sales Executive,2,Life Sciences,Travel_Frequently,5,No,5589,0,14,2,4,4,4,1,3,4,4,3,2,3,0,No
829,33,Male,Married,Sales,Manager,3,Medical,Non-Travel,2,Yes,17574,0,27,1,0,0,0,0,4,4,4,2,3,3,1,Yes
830,38,Female,Married,Human Resources,Manager,3,Medical,Travel_Frequently,1,No,13873,3,23,0,12,2,1,0,1,1,3,3,3,3,0,No
833,31,Female,Divorced,Research & Development,Healthcare Representative,2,Life Sciences,Travel_Rarely,2,No,7494,2,19,0,6,1,5,0,3,1,4,2,3,4,0,No
836,32,Female,Divorced,Sales,Sales Representative,2,Marketing,Travel_Rarely,7,No,1703,1,16,7,7,1,0,0,1,1,1,3,3,3,0,No
838,37,Male,Married,Sales,Sales Executive,3,Life Sciences,Travel_Rarely,2,No,8443,1,14,1,10,1,3,3,2,4,4,2,4,3,0,No
842,38,Female,Single,Research & Development,Laboratory Technician,4,Marketing,Travel_Rarely,19,No,4303,2,7,3,20,1,1,9,4,4,3,3,4,3,0,No
843,44,Male,Married,Research & Development,Healthcare Representative,1,Other,Travel_Rarely,3,Yes,9209,3,10,1,26,1,1,5,3,3,4,3,3,3,0,No
845,29,Female,Single,Sales,Sales Representative,5,Medical,Non-Travel,1,Yes,3760,1,9,0,0,0,0,0,1,3,4,3,3,3,0,No
849,37,Female,Single,Sales,Sales Executive,3,Medical,Travel_Rarely,5,No,2013,0,16,2,1,1,1,1,1,4,4,2,3,3,1,Yes
850,44,Female,Married,Research & Development,Research Director,4,Life Sciences,Travel_Rarely,19,No,14576,1,23,6,3,3,1,3,1,3,4,3,3,3,0,No
852,29,Female,Married,Human Resources,Human Resources,3,Life Sciences,Travel_Rarely,3,No,3087,3,12,1,1,1,1,1,0,4,1,2,2,3,1,Yes
856,52,Male,Married,Research & Development,Manufacturing Director,2,Other,Non-Travel,1,No,11947,0,24,2,1,1,1,1,3,2,1,4,4,3,0,No
857,41,Female,Married,Human Resources,Manager,3,Marketing,Travel_Rarely,7,Yes,17299,0,9,2,12,1,0,5,3,1,1,2,4,3,0,No
863,44,Female,Divorced,Research & Development,Healthcare Representative,2,Life Sciences,Non-Travel,5,No,6815,3,11,0,6,6,0,0,3,3,1,2,3,3,1,Yes
864,50,Female,Married,Sales,Sales Executive,3,Medical,Travel_Rarely,9,No,7403,1,0,2,0,0,0,0,2,1,4,3,3,3,0,No
866,42,Female,Married,Research & Development,Healthcare Representative,3,Life Sciences,Travel_Rarely,1,No,4138,2,4,3,0,0,0,0,1,2,4,2,1,3,1,Yes
867,41,Male,Single,Sales,Manager,3,Marketing,Travel_Rarely,15,Yes,14679,0,0,4,3,1,3,1,3,2,3,3,3,3,0,No
868,34,Female,Divorced,Sales,Manager,3,Medical,Travel_Rarely,2,Yes,14720,0,0,1,12,6,6,1,3,3,1,1,3,3,0,No
871,20,Female,Married,Research & Development,Manufacturing Director,2,Medical,Travel_Frequently,1,No,13417,1,13,7,2,0,2,1,4,1,4,3,3,3,0,No
874,54,Male,Single,Research & Development,Research Scientist,3,Life Sciences,Travel_Rarely,7,No,6180,2,4,3,24,0,2,0,3,1,4,4,2,3,0,No
877,42,Female,Married,Research & Development,Healthcare Representative,4,Life Sciences,Travel_Rarely,1,Yes,7235,0,0,1,7,7,6,2,0,3,3,3,2,3,0,No
879,47,Male,Divorced,Research & Development,Manufacturing Director,4,Human Resources,Travel_Rarely,3,No,11942,0,6,1,0,0,0,0,3,4,3,3,3,4,1,Yes
880,26,Male,Married,Research & Development,Laboratory Technician,4,Medical,Non-Travel,15,No,2406,0,2,0,1,1,1,0,2,2,1,4,3,3,0,No
882,34,Male,Divorced,Sales,Manager,3,Human Resources,Non-Travel,2,No,19632,0,11,5,16,10,9,3,0,4,3,4,4,4,0,No
886,25,Male,Married,Research & Development,Research Scientist,4,Life Sciences,Travel_Rarely,6,Yes,8053,1,22,3,7,6,0,5,1,1,3,2,3,3,1,Yes
889,32,Male,Married,Human Resources,Manager,3,Technical Degree,Non-Travel,4,No,18800,1,11,6,3,1,3,1,4,2,4,3,3,3,0,No
890,19,Male,Divorced,Research & Development,Manufacturing Director,3,Marketing,Travel_Rarely,3,No,14215,1,21,0,1,1,1,1,3,1,1,3,3,3,1,Yes
891,30,Male,Married,Sales,Sales Representative,4,Technical Degree,Travel_Rarely,2,No,2605,0,15,9,10,0,3,3,3,1,1,1,2,3,0,No
893,30,Female,Single,Sales,Manager,3,Life Sciences,Travel_Rarely,1,Yes,17542,1,5,2,12,3,2,0,3,3,3,3,2,3,1,Yes
895,27,Male,Married,Research & Development,Healthcare Representative,4,Marketing,Non-Travel,20,Yes,6548,2,2,0,9,1,0,0,6,1,4,3,3,3,0,No
896,46,Male,Married,Research & Development,Research Director,4,Life Sciences,Non-Travel,2,No,18483,0,8,0,1,1,1,1,1,4,4,2,3,3,1,Yes
898,32,Female,Single,Sales,Manager,3,Life Sciences,Non-Travel,7,Yes,14135,0,20,0,0,0,0,0,5,1,4,2,3,4,0,No
900,21,Male,Single,Human Resources,Human Resources,3,Marketing,Travel_Rarely,7,Yes,6242,0,3,0,3,3,1,2,3,2,4,3,3,3,0,No
902,45,Male,Married,Research & Development,Research Director,3,Technical Degree,Travel_Rarely,14,No,15851,0,6,0,12,1,6,7,6,1,4,4,2,3,1,Yes
904,36,Female,Divorced,Research & Development,Research Scientist,3,Marketing,Non-Travel,18,No,4155,1,15,0,2,0,2,1,2,4,4,3,3,3,1,Yes
905,30,Male,Divorced,Sales,Manager,2,Life Sciences,Travel_Rarely,1,No,15442,1,0,2,5,5,5,0,3,2,4,2,4,3,0,No
906,32,Male,Married,Sales,Sales Representative,3,Marketing,Travel_Rarely,4,No,1758,1,21,3,3,0,3,0,3,2,1,2,2,3,0,No
907,29,Male,Single,Sales,Sales Representative,2,Life Sciences,Non-Travel,2,Yes,1296,0,5,3,3,3,3,3,4,2,3,3,3,4,0,No
910,27,Female,Married,Sales,Sales Executive,1,Life Sciences,Travel_Rarely,4,No,6003,0,8,3,9,9,0,9,2,2,1,3,3,3,0,No
913,35,Female,Divorced,Research & Development,Manufacturing Director,5,Life Sciences,Travel_Rarely,3,No,15339,2,23,1,14,3,2,1,3,3,4,3,3,3,0,No
919,43,Female,Married,Human Resources,Human Resources,2,Life Sciences,Travel_Frequently,2,No,1175,0,17,7,13,3,6,0,1,4,4,2,2,3,0,No
920,41,Male,Married,Sales,Sales Executive,3,Marketing,Non-Travel,2,Yes,5071,2,6,5,10,0,0,10,2,1,1,2,3,3,0,No
921,45,Female,Single,Research & Development,Research Scientist,2,Marketing,Non-Travel,10,No,6176,0,22,2,2,2,2,0,3,1,2,2,1,3,0,No
922,45,Female,Single,Research & Development,Research Director,5,Human Resources,Travel_Rarely,2,No,14897,0,16,2,8,5,0,0,2,4,2,3,2,3,1,Yes
924,39,Male,Single,Sales,Sales Executive,2,Medical,Travel_Rarely,1,Yes,5018,0,8,3,13,10,1,1,2,1,3,2,4,3,0,No
925,18,Male,Divorced,Research & Development,Manufacturing Director,4,Life Sciences,Travel_Rarely,1,No,12393,0,24,0,0,0,0,0,3,4,1,2,2,3,1,Yes
926,38,Female,Married,Research & Development,Research Scientist,3,Life Sciences,Travel_Rarely,6,No,6906,2,12,0,5,1,5,1,1,3,3,2,3,3,0,No
927,29,Female,Single,Sales,Sales Representative,4,Life Sciences,Travel_Rarely,6,No,3461,0,5,3,2,2,2,2,3,4,1,3,3,3,0,No
932,40,Male,Married,Research & Development,Manufacturing Director,3,Life Sciences,Non-Travel,1,No,14222,2,15,0,2,2,2,0,5,2,3,3,4,3,1,Yes
933,26,Male,Divorced,Sales,Manager,3,Medical,Travel_Rarely,7,No,15643,0,19,1,7,0,0,5,2,2,3,3,3,3,0,No
935,39,Female,Single,Research & Development,Research Scientist,3,Life Sciences,Travel_Rarely,4,No,6469,2,8,3,0,0,0,0,3,4,2,3,3,3,0,No
937,39,Male,Divorced,Research & Development,Laboratory Technician,1,Life Sciences,Travel_Rarely,7,No,4755,2,11,1,21,0,3,1,1,4,2,1,4,3,0,No
938,22,Female,Single,Sales,Sales Executive,2,Life Sciences,Travel_Frequently,1,No,8755,1,10,1,1,1,1,1,3,4,3,3,3,3,1,Yes
939,39,Male,Single,Research & Development,Research Scientist,2,Technical Degree,Travel_Rarely,3,No,7415,2,13,1,2,2,2,1,4,4,3,1,4,3,0,No
941,40,Male,Single,Sales,Manager,4,Life Sciences,Travel_Rarely,7,No,15593,1,18,3,0,0,0,0,5,2,4,3,3,3,1,Yes
942,44,Male,Married,Human Resources,Manager,3,Life Sciences,Travel_Rarely,3,No,15227,0,14,1,0,0,0,0,2,1,2,3,3,3,0,No
943,36,Male,Single,Research & Development,Research Scientist,3,Marketing,Travel_Rarely,7,No,4026,0,19,0,6,1,4,5,3,3,3,1,3,4,1,Yes
946,57,Male,Married,Sales,Sales Representative,3,Life Sciences,Travel_Rarely,2,Yes,2796,0,6,0,8,3,8,4,3,1,4,3,4,3,1,Yes
947,51,Female,Divorced,Sales,Sales Executive,4,Medical,Travel_Rarely,9,No,7361,1,15,1,3,3,1,3,2,1,1,3,2,3,1,Yes
948,28,Male,Married,Human Resources,Human Resources,3,Other,Travel_Frequently,4,No,2460,1,19,3,7,2,2,7,0,3,4,3,2,3,0,No
949,32,Female,Single,Research & Development,Laboratory Technician,3,Life Sciences,Travel_Frequently,29,No,2488,0,9,1,6,2,0,3,3,3,3,3,2,4,1,Yes
951,32,Male,Married,Human Resources,Manager,2,Life Sciences,Travel_Rarely,19,No,15270,2,0,1,0,0,0,0,2,2,1,3,3,4,1,Yes
952,32,Female,Married,Research & Development,Research Director,3,Life Sciences,Non-Travel,25,No,16266,0,28,2,11,3,2,1,2,3,3,3,3,3,0,No
954,32,Female,Single,Human Resources,Human Resources,3,Marketing,Non-Travel,11,No,3580,0,4,0,1,0,1,1,2,4,1,3,3,3,0,No
960,38,Male,Single,Research & Development,Healthcare Representative,3,Marketing,Non-Travel,14,No,8540,1,11,2,2,2,2,1,2,1,1,4,3,3,0,No
965,29,Male,Divorced,Human Resources,Manager,3,Medical,Travel_Rarely,8,Yes,16889,3,10,0,3,3,3,2,3,1,2,3,4,3,1,Yes
967,57,Male,Single,Human Resources,Human Resources,4,Marketing,Travel_Rarely,13,No,3393,1,14,0,12,0,2,2,3,3,1,2,3,3,0,No
968,29,Male,Married,Research & Development,Research Scientist,4,Life Sciences,Travel_Rarely,5,Yes,6523,1,11,4,7,7,0,7,2,1,2,3,3,3,1,Yes
970,30,Male,Married,Research & Development,Research Scientist,4,Life Sciences,Travel_Rarely,9,No,4895,2,11,1,4,4,1,0,0,3,1,3,3,3,0,No
971,31,Female,Married,Research & Development,Healthcare Representative,2,Human Resources,Travel_Frequently,15,No,6088,0,10,2,12,1,6,2,1,3,1,3,4,3,0,No
976,40,Female,Single,Human Resources,Manager,4,Medical,Travel_Rarely,8,No,18651,1,11,1,10,3,0,2,2,2,1,3,4,3,0,No
981,42,Male,Married,Research & Development,Healthcare Representative,3,Medical,Non-Travel,8,No,5067,1,13,3,0,0,0,0,3,3,3,3,2,3,0,No
982,35,Male,Divorced,Human Resources,Manager,4,Human Resources,Non-Travel,1,No,15792,1,7,0,1,1,1,1,3,1,1,3,2,3,0,No
985,35,Male,Divorced,Research & Development,Healthcare Representative,4,Medical,Travel_Rarely,6,No,8633,0,8,0,1,0,1,1,3,2,4,3,2,4,0,No
986,38,Female,Single,Research & Development,Healthcare Representative,3,Life Sciences,Travel_Frequently,1,Yes,8535,0,25,0,20,0,11,5,2,4,2,3,3,3,1,Yes
987,42,Male,Single,Sales,Sales Representative,3,Marketing,Travel_Rarely,1,No,2118,2,9,0,1,1,1,1,0,1,3,3,3,3,0,No
988,45,Male,Single,Sales,Manager,4,Life Sciences,Travel_Rarely,1,No,13841,2,3,2,0,0,0,0,3,1,2,3,2,3,0,No
989,52,Female,Married,Research & Development,Laboratory Technician,2,Life Sciences,Travel_Rarely,28,Yes,1484,0,7,2,0,0,0,0,3,3,3,1,3,4,0,No
990,34,Male,Single,Research & Development,Manufacturing Director,3,Life Sciences,Non-Travel,14,Yes,13679,0,1,3,1,1,0,0,1,4,4,3,3,3,1,Yes
991,60,Female,Single,Research & Development,Research Scientist,4,Life Sciences,Non-Travel,2,Yes,7270,0,6,5,34,7,1,1,3,2,1,2,4,4,1,Yes
992,39,Male,Married,Research & Development,Research Scientist,3,Technical Degree,Travel_Rarely,14,No,5408,0,7,1,1,1,1,1,1,3,1,3,4,3,1,Yes
993,51,Male,Single,Sales,Manager,1,Medical,Travel_Rarely,7,Yes,15806,0,13,1,3,2,3,0,4,1,3,3,3,3,0,No
994,28,Male,Married,Sales,Sales Executive,4,Life Sciences,Travel_Rarely,1,No,8943,0,20,8,0,0,0,0,2,4,2,3,3,3,0,No
995,26,Male,Single,Sales,Manager,4,Human Resources,Travel_Rarely,5,No,19246,0,24,2,1,1,0,1,3,4,3,2,2,3,0,No
997,36,Male,Married,Sales,Sales Executive,3,Medical,Travel_Rarely,7,No,6259,1,15,0,10,6,5,2,4,3,1,2,1,3,0,No
1000,53,Female,Married,Sales,Sales Representative,2,Marketing,Non-Travel,4,No,1132,1,10,2,2,2,1,0,3,1,2,2,3,3,0,No
1001,20,Male,Married,Research & Development,Research Director,4,Medical,Travel_Rarely,1,No,15951,2,4,2,2,2,2,1,1,3,3,2,3,3,0,No
1003,36,Male,Divorced,Sales,Sales Representative,3,Life Sciences,Travel_Rarely,1,No,4237,0,11,5,1,1,1,1,3,3,4,3,2,3,0,No
1004,34,Female,Divorced,Sales,Manager,4,Life Sciences,Non-Travel,21,Yes,18967,1,6,2,9,0,1,1,3,3,4,4,1,3,0,No
1006,29,Male,Married,Research & Development,Manufacturing Director,3,Life Sciences,Travel_Rarely,8,Yes,17187,0,20,0,3,0,0,2,3,2,3,3,4,4,0,No
1007,30,Male,Married,Research & Development,Research Scientist,5,Technical Degree,Non-Travel,15,No,4122,0,20,0,3,3,3,0,3,2,1,3,3,3,1,Yes
1008,47,Female,Married,Sales,Sales Executive,4,Life Sciences,Non-Travel,10,No,9955,1,0,7,7,7,5,1,4,3,4,2,2,3,1,Yes
1010,40,Female,Single,Research & Development,Healthcare Representative,3,Medical,Travel_Rarely,2,Yes,6658,0,11,0,2,2,1,2,3,3,3,3,3,3,0,No
1014,47,Female,Single,Research & Development,Laboratory Technician,4,Life Sciences,Non-Travel,2,Yes,1830,1,18,9,3,3,3,1,2,4,1,1,2,3,0,No
1015,43,Male,Single,Research & Development,Manufacturing Director,3,Medical,Travel_Rarely,29,No,15101,0,13,1,8,5,3,0,3,3,4,2,3,4,0,No
1016,29,Male,Single,Sales,Sales Executive,4,Medical,Travel_Rarely,9,Yes,3532,0,11,3,3,1,2,0,3,3,1,2,1,3,0,No
1017,42,Male,Married,Research & Development,Research Director,3,Life Sciences,Travel_Rarely,4,No,15048,0,0,3,16,0,2,0,2,3,1,2,2,3,1,Yes
1023,26,Male,Single,Human Resources,Manager,1,Life Sciences,Travel_Rarely,18,No,15783,1,3,0,8,7,7,4,4,1,1,4,3,3,0,No
1025,41,Male,Single,Research & Development,Healthcare Representative,4,Technical Degree,Non-Travel,10,No,5761,1,26,1,20,2,0,1,3,2,4,3,3,3,1,Yes
1027,37,Male,Married,Research & Development,Manufacturing Director,3,Life Sciences,Non-Travel,27,No,14560,2,13,1,1,1,1,1,5,1,2,3,4,3,0,No
1034,35,Male,Married,Human Resources,Human Resources,5,Medical,Travel_Rarely,1,No,4508,0,16,3,13,1,8,0,2,2,1,3,3,4,0,No
1036,47,Male,Married,Research & Development,Manufacturing Director,3,Medical,Travel_Rarely,17,No,14109,1,9,1,4,0,4,2,3,3,3,2,3,3,0,No
1038,42,Female,Married,Research & Development,Research Director,2,Medical,Travel_Rarely,8,Yes,14724,0,13,1,5,4,0,5,3,1,3,2,4,3,0,No
1043,40,Male,Divorced,Sales,Sales Executive,4,Medical,Travel_Rarely,19,No,8327,2,18,3,3,0,2,3,3,4,3,4,3,4,0,No
1045,46,Male,Married,Research & Development,Healthcare Representative,2,Life Sciences,Travel_Rarely,2,No,9178,0,17,7,2,1,0,0,1,4,4,2,3,3,0,No
1046,30,Female,Married,Research & Development,Laboratory Technician,2,Human Resources,Travel_Rarely,3,Yes,3636,0,11,1,3,2,2,3,3,3,2,3,3,3,0,No
1047,60,Male,Single,Human Resources,Manager,4,Life Sciences,Travel_Rarely,29,No,19999,1,12,0,1,1,1,1,1,4,4,3,4,3,0,No
1051,31,Male,Single,Human Resources,Human Resources,1,Human Resources,Travel_Rarely,9,No,3066,0,15,1,12,2,1,4,2,3,2,3,4,4,0,No
1054,18,Female,Married,Research & Development,Research Director,4,Life Sciences,Travel_Rarely,29,Yes,16217,0,9,1,0,0,0,0,4,1,2,3,4,3,1,Yes
1055,42,Male,Married,Research & Development,Manufacturing Director,3,Life Sciences,Non-Travel,1,No,12927,2,14,3,0,0,0,0,1,3,4,3,4,3,0,No
1056,18,Female,Married,Research & Development,Research Director,2,Medical,Travel_Rarely,8,No,16267,0,10,3,0,0,0,0,3,2,4,3,3,3,0,No
1057,32,Male,Married,Research & Development,Research Scientist,1,Life Sciences,Travel_Rarely,18,Yes,5655,1,25,0,13,6,2,13,1,2,1,3,3,3,0,No
1063,39,Male,Married,Sales,Sales Executive,3,Life Sciences,Non-Travel,2,Yes,6483,1,13,2,9,1,0,1,4,4,4,3,3,3,0,No
1067,31,Male,Single,Sales,Sales Executive,4,Medical,Travel_Rarely,15,No,7497,2,7,0,2,1,1,0,3,1,3,4,3,4,0,No
1068,21,Female,Married,Research & Development,Healthcare Representative,1,Life Sciences,Non-Travel,4,No,7707,0,10,5,3,1,0,3,3,2,3,3,2,3,1,Yes
1069,45,Male,Married,Sales,Sales Representative,1,Medical,Travel_Rarely,3,No,2574,0,8,0,2,2,0,2,3,1,3,3,1,3,0,No
1072,38,Female,Divorced,Sales,Sales Executive,4,Life Sciences,Non-Travel,27,No,8454,0,9,0,0,0,0,0,3,2,4,3,3,3,0,No
1073,38,Female,Divorced,Research & Development,Manufacturing Director,4,Life Sciences,Travel_Rarely,3,No,13753,1,12,1,2,1,2,0,2,3,4,2,4,3,0,No
1081,28,Male,Married,Research & Development,Research Director,4,Medical,Travel_Rarely,6,Yes,16770,1,16,4,2,0,2,0,3,3,4,2,1,3,0,No
1083,48,Male,Single,Sales,Sales Executive,4,Marketing,Travel_Rarely,2,Yes,4603,2,0,8,0,0,0,0,1,4,1,4,3,3,0,No
1084,33,Male,Married,Research & Development,Manufacturing Director,4,Human Resources,Travel_Rarely,1,Yes,12223,0,20,3,15,1,3,0,2,3,2,4,3,3,0,No
1085,31,Male,Married,Sales,Manager,2,Medical,Travel_Rarely,3,No,18772,0,14,1,0,0,0,0,1,3,2,3,4,3,0,No
1088,48,Female,Married,Research & Development,Research Director,4,Medical,Travel_Rarely,1,No,16569,0,5,0,3,3,3,3,1,2,3,3,2,3,0,No
1091,27,Female,Married,Sales,Sales Representative,3,Life Sciences,Travel_Rarely,5,No,4436,0,7,4,1,0,0,1,1,1,4,3,3,3,1,Yes
1093,48,Male,Married,Research & Development,Laboratory Technician,4,Medical,Non-Travel,10,Yes,1339,0,11,1,0,0,0,0,2,1,3,2,3,4,0,No
1094,31,Male,Divorced,Research & Development,Research Scientist,3,Marketing,Travel_Rarely,21,No,4822,0,5,0,0,0,0,0,3,3,4,2,2,4,1,Yes
1095,39,Female,Married,Sales,Sales Representative,3,Life Sciences,Travel_Rarely,7,No,5280,2,7,2,15,9,1,1,2,4,2,1,1,3,0,No
1096,33,Female,Single,Research & Development,Research Scientist,1,Marketing,Travel_Rarely,12,No,4390,1,19,2,15,8,0,0,1,3,2,3,1,3,0,No
1098,23,Male,Married,Sales,Sales Executive,4,Other,Travel_Rarely,22,Yes,6205,1,13,1,5,2,2,1,4,1,3,2,2,3,0,No
1100,36,Male,Single,Research & Development,Research Scientist,2,Life Sciences,Non-Travel,15,No,5714,1,16,1,10,2,7,1,2,3,2,3,3,4,0,No
1101,49,Female,Married,Sales,Sales Executive,3,Medical,Travel_Rarely,16,No,7565,1,10,1,11,4,2,4,3,2,4,2,3,4,0,No
1102,31,Male,Married,Research & Development,Research Director,1,Technical Degree,Travel_Rarely,12,Yes,17988,0,1,2,1,0,1,1,2,3,2,2,2,4,0,No
1104,23,Female,Married,Sales,Sales Executive,2,Medical,Travel_Frequently,11,No,6362,2,4,8,5,5,2,3,0,4,1,3,3,3,1,Yes
1105,18,Male,Single,Sales,Sales Executive,3,Life Sciences,Non-Travel,2,No,5980,2,0,0,0,0,0,0,3,1,3,2,3,3,0,No
1111,45,Female,Married,Research & Development,Manufacturing Director,3,Marketing,Non-Travel,1,Yes,14693,1,21,3,5,5,5,2,2,4,3,3,3,3,0,No
1113,42,Female,Married,Research & Development,Research Director,3,Medical,Travel_Rarely,20,Yes,17874,0,1,0,0,0,0,0,5,1,2,3,4,3,0,No
1114,31,Male,Single,Research & Development,Research Director,3,Life Sciences,Travel_Rarely,3,No,12414,2,11,5,13,7,0,1,4,2,2,3,3,3,0,No
1118,35,Male,Married,Human Resources,Human Resources,3,Human Resources,Travel_Rarely,9,No,4772,0,5,0,5,0,0,1,1,4,2,2,4,3,0,No
1119,47,Female,Single,Sales,Sales Representative,3,Life Sciences,Travel_Rarely,5,No,3079,1,13,8,7,2,1,0,2,4,3,2,3,3,0,No
1120,38,Male,Divorced,Sales,Manager,5,Life Sciences,Non-Travel,6,No,16087,0,13,2,2,2,0,1,1,4,3,1,2,3,0,No
1121,40,Male,Single,Sales,Manager,3,Technical Degree,Travel_Frequently,23,No,17130,0,2,3,9,4,3,2,3,2,4,3,3,3,0,No
1125,40,Male,Divorced,Research & Development,Laboratory Technician,1,Medical,Travel_Rarely,6,Yes,7728,1,3,0,2,2,0,0,0,3,4,3,3,3,0,No
1126,54,Male,Married,Human Resources,Human Resources,4,Other,Travel_Rarely,2,No,2838,1,14,2,4,4,2,1,3,4,3,3,3,3,0,No
1127,35,Male,Single,Sales,Sales Representative,4,Life Sciences,Travel_Rarely,1,Yes,1009,2,8,2,17,5,2,0,3,2,4,3,3,3,0,No
1128,37,Male,Married,Research & Development,Manufacturing Director,1,Life Sciences,Travel_Rarely,2,No,14708,1,5,1,6,0,6,0,4,2,4,2,3,4,0,No
1130,35,Female,Single,Research & Development,Research Director,2,Life Sciences,Travel_Rarely,1,No,16033,0,1,2,10,0,0,0,0,3,4,3,3,3,0,No
1131,36,Male,Divorced,Research & Development,Research Director,3,Life Sciences,Travel_Rarely,2,No,15131,0,10,1,13,3,3,1,2,4,1,2,2,3,0,No
1137,32,Female,Divorced,Research & Development,Laboratory Technician,2,Technical Degree,Travel_Rarely,1,No,1982,0,8,3,3,3,3,3,2,3,3,4,1,3,0,No
1142,51,Female,Married,Human Resources,Manager,4,Marketing,Travel_Rarely,8,No,18203,0,22,1,2,1,1,2,3,3,4,3,2,3,0,No
1143,35,Male,Single,Sales,Manager,4,Life Sciences,Travel_Rarely,8,No,16966,0,6,2,17,1,1,5,2,2,3,4,3,4,0,No
1146,43,Male,Single,Sales,Manager,4,Medical,Travel_Rarely,1,No,19999,2,20,8,0,0,0,0,2,4,2,3,2,3,0,No
1147,22,Male,Single,Sales,Manager,4,Medical,Travel_Rarely,13,No,15470,0,12,1,4,4,4,4,3,2,4,3,1,4,0,No
1149,28,Female,Married,Sales,Sales Executive,2,Human Resources,Non-Travel,2,No,6977,1,16,6,2,1,0,2,4,3,1,3,4,3,0,No
1151,47,Male,Married,Research & Development,Laboratory Technician,4,Life Sciences,Travel_Rarely,1,Yes,1009,1,9,1,6,2,0,6,3,1,4,3,3,3,0,No
1153,33,Female,Married,Research & Development,Manufacturing Director,1,Life Sciences,Travel_Rarely,13,No,13541,1,8,1,1,0,1,1,2,3,1,3,4,3,0,No
1154,37,Female,Divorced,Sales,Sales Executive,2,Life Sciences,Travel_Rarely,15,No,7789,0,11,0,3,3,3,3,0,4,2,2,4,4,0,No
1155,27,Male,Married,Research & Development,Laboratory Technician,1,Marketing,Travel_Rarely,2,No,5130,1,18,1,9,9,0,4,4,3,2,3,3,4,0,No
1158,43,Male,Single,Research & Development,Healthcare Representative,3,Life Sciences,Travel_Rarely,2,Yes,6801,3,11,0,3,3,3,3,2,4,4,3,3,3,0,No
1159,36,Female,Married,Sales,Sales Representative,4,Marketing,Travel_Rarely,5,No,3164,0,6,5,11,5,2,2,3,4,3,3,2,3,0,No
1160,27,Female,Married,Research & Development,Manufacturing Director,3,Marketing,Travel_Rarely,1,Yes,16444,2,8,0,1,1,0,1,2,2,1,3,2,3,0,No
1164,31,Male,Married,Research & Development,Research Scientist,3,Life Sciences,Travel_Rarely,19,No,5294,1,22,0,6,2,4,1,3,1,4,3,2,3,0,No
1166,46,Male,Married,Sales,Sales Representative,5,Technical Degree,Travel_Rarely,9,No,2435,2,11,0,8,1,8,1,0,4,2,2,3,3,0,No
1168,45,Female,Single,Human Resources,Human Resources,4,Life Sciences,Travel_Rarely,7,No,4006,1,10,4,8,2,1,8,2,1,3,3,1,3,0,No
1170,46,Female,Married,Human Resources,Human Resources,3,Marketing,Travel_Rarely,5,No,3227,2,12,0,13,3,2,6,4,1,4,3,4,3,1,Yes
1171,41,Female,Single,Sales,Sales Representative,1,Life Sciences,Travel_Rarely,1,No,2083,2,0,9,5,2,5,1,3,2,3,3,3,3,0,No
